temp,vib,speed ,current,voltage,output
31,1.12,500,21,220,0
33.1,1.2,500,21,220,0
35,1.24,500,21,220,0
34.3,1.18,500,21,220,0
36.22,1.25,500,21,220,0
51.1,1.28,500,21,220,1
51.2,1.29,500,21,220,1
45.3,1.08,500,21,220,1
45.4,1.06,500,21,220,1
43.1,1.35,500,21,220,1
43.2,1.34,500,21,220,1
46.2,1.39,500,21,220,1
44.9,1.3,500,21,220,1
43,1.37,500,21,220,1
51.2,1.34,500,21,220,1
52.4,1.59,500,21,220,1
56.3,1.89,500,21,220,1
41.1,0.84,500,21,220,1
